New,Renewal,IJA Licence,First Name,Last Name,Date of Birth,Gender (M/F/AFAB/AMAB),Parent/Guardian Name,Home Address,Town/City,County,Eircode,Mobile No,Email Address,Grade,Under 12 - €30,Under 18 - €40,Student - €45,Over 18 - €60,Life - €10,Adaptive Judo?,If Yes - List Disability
FALSE,FALSE,26-0001,Sarah,Thompson,1-Jan-1972,F,N/A,Dublin,,Dublin,D01 XXX,+353 87 000 0001,example@example.com,kyu2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
FALSE,FALSE,26-0002,Emma,Wilson,23-Apr-2018,F,Parent Name,Dublin,,Dublin,D02 XXX,+353 87 000 0002,example@example.com,mon3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
FALSE,FALSE,26-0003,Michael,Johnson,13-Feb-2015,M,Parent Name,Dublin,,Dublin,D03 XXX,+353 87 000 0003,example@example.com,,,,,,,,
FALSE,FALSE,26-0004,Patrick,Smith,23-Nov-2012,M,Parent Name,Dublin,,Dublin,D04 XXX,+353 87 000 0004,example@example.com,,,,,,,,
FALSE,FALSE,26-0005,Catherine,Brown,15-Dec-1975,F,N/A,Dublin,,Dublin,D05 XXX,+353 87 000 0005,example@example.com,dan1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
FALSE,FALSE,26-0006,Tara,Jones,28-Oct-2016,F,Parent Name,Dublin,,Dublin,D06 XXX,+353 87 000 0006,example@example.com,mon4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
FALSE,FALSE,26-0007,Sophie,Miller,16-Oct-2014,F,Parent Name,Dublin,,Dublin,D07 XXX,+353 87 000 0007,example@example.com,mon3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
FALSE,FALSE,26-0008,Anna,Davis,16-Mar-2015,F,Parent Name,Dublin,,Dublin,D08 XXX,+353 87 000 0008,example@example.com,mon3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
FALSE,FALSE,26-0009,Rachel,Taylor,1-Oct-2016,F,Parent Name,Dublin,,Dublin,D09 XXX,+353 87 000 0009,example@example.com,mon3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
FALSE,FALSE,26-0010,Laura,Anderson,14-Dec-2011,F,Parent Name,Dublin,,Dublin,D10 XXX,+353 87 000 0010,example@example.com,none,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,ASD
FALSE,FALSE,26-0011,Olivia,Thomas,11-Dec-2020,F,Parent Name,Dublin,,Dublin,D11 XXX,+353 87 000 0011,example@example.com,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
FALSE,FALSE,26-0012,John,Jackson,22-Dec-1955,M,N/A,Dublin,,Dublin,D12 XXX,+353 87 000 0012,example@example.com,dan6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
FALSE,FALSE,26-0013,Robert,White,30-Jun-2010,M,Parent Name,Dublin,,Dublin,D13 XXX,+353 87 000 0013,example@example.com,kyu3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
FALSE,FALSE,26-0014,William,Harris,6-Jul-1962,M,N/A,Dublin,,Dublin,D14 XXX,+353 87 000 0014,example@example.com,dan1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
FALSE,FALSE,26-0015,James,Martin,4-Jul-2015,M,Parent Name,Dublin,,Dublin,D15 XXX,+353 87 000 0015,example@example.com,mon5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
FALSE,FALSE,26-0016,Thomas,Moore,10-Oct-2012,M,Parent Name,Dublin,,Dublin,D16 XXX,+353 87 000 0016,example@example.com,mon6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
FALSE,FALSE,26-0017,Charles,Clark,10-Oct-2008,M,Parent Name,Dublin,,Dublin,D17 XXX,+353 87 000 0017,example@example.com,mon6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
FALSE,FALSE,26-0018,Edward,Lewis,22-Feb-2008,M,N/A,Dublin,,Dublin,D18 XXX,+353 87 000 0018,example@example.com,kyu5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
FALSE,FALSE,26-0019,Richard,Walker,17-Oct-2017,M,Parent Name,Dublin,,Dublin,D19 XXX,+353 87 000 0019,example@example.com,mon3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
FALSE,FALSE,26-0020,Joseph,Hall,5-Jan-2019,M,Parent Name,Dublin,,Dublin,D20 XXX,+353 87 000 0020,example@example.com,mon3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
FALSE,FALSE,26-0021,Daniel,Allen,17-Nov-2016,M,Parent Name,Dublin,,Dublin,D21 XXX,+353 87 000 0021,example@example.com,mon3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
FALSE,FALSE,26-0022,Frank,Young,17-Dec-1975,M,N/A,Dublin,,Dublin,D22 XXX,+353 87 000 0022,example@example.com,dan1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
FALSE,FALSE,26-0023,Henry,King,24-Sep-2008,M,Parent Name,Dublin,,Dublin,D23 XXX,+353 87 000 0023,example@example.com,kyu5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
FALSE,FALSE,26-0024,Paul,Scott,4-Aug-2014,M,Parent Name,Dublin,,Dublin,D24 XXX,+353 87 000 0024,example@example.com,kyu5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
FALSE,FALSE,26-0025,Mark,Green,16-Dec-1990,M,N/A,Dublin,,Dublin,D25 XXX,+353 87 000 0025,example@example.com,dan1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
FALSE,FALSE,26-0026,David,Adams,30-Aug-2018,M,Parent Name,Dublin,,Dublin,D26 XXX,+353 87 000 0026,example@example.com,mon3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
FALSE,FALSE,26-0027,Paul,Nelson,3-Mar-2015,M,Parent Name,Dublin,,Dublin,D27 XXX,+353 87 000 0027,example@example.com,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
FALSE,FALSE,26-0028,Steven,Carter,25-Apr-2013,M,Parent Name,Dublin,,Dublin,D28 XXX,+353 87 000 0028,example@example.com,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
FALSE,FALSE,26-0029,Anthony,Mitchell,13-Nov-1995,M,N/A,Dublin,,Dublin,D29 XXX,+353 87 000 0029,example@example.com,none,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
FALSE,FALSE,26-0030,Andrew,Perez,2-Oct-2007,M,N/A,Dublin,,Dublin,D30 XXX,+353 87 000 0030,example@example.com,none,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
FALSE,FALSE,26-0031,Kenneth,Roberts,8-Jul-2020,M,Parent Name,Dublin,,Dublin,D31 XXX,+353 87 000 0031,example@example.com,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
FALSE,FALSE,26-0032,Joshua,Phillips,25-Aug-1991,M,N/A,Dublin,,Dublin,D32 XXX,+353 87 000 0032,example@example.com,dan1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
FALSE,FALSE,26-0033,Kevin,Campbell,27-Aug-1991,M,Parent Name,Dublin,,Dublin,D33 XXX,+353 87 000 0033,example@example.com,none,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
FALSE,FALSE,26-0034,Brian,Parker,16-Oct-2020,M,Parent Name,Dublin,,Dublin,D34 XXX,+353 87 000 0034,example@example.com,none,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
